,상호,주소,가격,셀프,상표,구
25,(주)파랑에너지,서울 동대문구 망우로 126,1885.0,Y,GS칼텍스,동대문구
26,오동나무주유소,서울 동대문구  한천로 81 (답십리동),1898.0,N,S-OIL,동대문구
27,(주)안국에너지 삼원셀프주유소,서울 동대문구 망우로 90 (휘경동),1898.0,Y,SK에너지,동대문구
28,홍능주유소,서울 동대문구 홍릉로 87 (청량리동),1915.0,N,S-OIL,동대문구
29,(주)경동주유소,서울 동대문구 이문로 191 (이문동),1925.0,Y,S-OIL,동대문구
30,동서울고속주유소,서울 동대문구 한천로 414,2073.0,Y,SK에너지,동대문구
31,한영주유소 (한화),서울 동대문구 망우로 38 (휘경동),2290.0,N,현대오일뱅크,동대문구
32,지에스칼텍스㈜직영 남성주유소,서울 동작구 동작대로 135 (사당동),1849.0,Y,GS칼텍스,동작구
33,창원이엔지주유소,서울 동작구 사당로 59 (상도동),1863.0,N,현대오일뱅크,동작구
34,지에스칼텍스(주) 대방주유소,서울 동작구 여의대방로 214,1867.0,N,GS칼텍스,동작구
35,현대오일뱅크㈜직영 흑석동셀프주유소,서울 동작구 현충로 101 (흑석동),1872.0,Y,현대오일뱅크,동작구
36,현대오일뱅크(주)직영 사당셀프주유소,서울 동작구 동작대로 73 (사당동),1872.0,Y,현대오일뱅크,동작구
37,현대오일뱅크(주)직영 동작주유소,서울 동작구 상도로 403 (상도동),1882.0,N,현대오일뱅크,동작구
38,현대오일뱅크㈜직영 신대방셀프주유소,서울 동작구 시흥대로 616 (신대방동),1882.0,Y,현대오일뱅크,동작구
39,매일주유소,서울 동작구 상도로 139 (상도동),1899.0,Y,S-OIL,동작구
40,살피재주유소,서울 동작구 상도로 334,2035.0,N,SK에너지,동작구
41,성산대교셀프주유소,서울 마포구 성산로 144,1848.0,Y,현대오일뱅크,마포구
42,청원주유소,서울 마포구 월드컵북로 113 (성산동),1868.0,Y,현대오일뱅크,마포구
43,에스오일(주) 염리동주유소,서울 마포구 백범로 126 (염리동),1869.0,Y,S-OIL,마포구
44,성산주유소,서울 마포구 월드컵북로 170 (성산제2동),1887.0,N,SK에너지,마포구
45,마포시엠주유소,서울 마포구 월드컵북로62 (성산동),1897.0,N,GS칼텍스,마포구
46,(주)안국에너지 망원동주유소,서울 마포구 월드컵로 119 (망원동),1898.0,N,SK에너지,마포구
47,에스에스오토셀프,서울 마포구 서강로 76 (창전동),1898.0,Y,현대오일뱅크,마포구
48,용강주유소,서울 마포구 토정로 258,1929.0,N,S-OIL,마포구
49,(주)만성상사 대흥주유소,서울 마포구 대흥로 61 (대흥동),1929.0,N,SK에너지,마포구
50,SK에너지 양지주유소,서울 마포구 마포대로 69 (도화동),1979.0,N,SK에너지,마포구
51,SK에너지(주) 안국주유소,서울 마포구 양화로 33,2029.0,N,SK에너지,마포구
52,마포주유소,서울 마포구 마포대로 186 (공덕동),2199.0,N,S-OIL,마포구
53,구도일주유소 두꺼비,서울 서대문구 성산로 312,1848.0,Y,S-OIL,서대문구
54,(주)창원이엔지 홍제지점,서울 서대문구 통일로 455 (홍제동),1849.0,N,현대오일뱅크,서대문구
55,(주)미래아스팔트 신우주유소,서울 서대문구 가좌로 106(홍은동),1859.0,Y,S-OIL,서대문구
56,(주)가재울뉴타운주유소,서울 서대문구 모래내로 205,1863.0,Y,현대오일뱅크,서대문구
57,중앙에너비스 동교지점,서울 서대문구 연희로 12 (창천동),1867.0,Y,SK에너지,서대문구
58,남정주유소,서울 서대문구 모래내로 243 (남가좌동),1868.0,N,GS칼텍스,서대문구
59,행촌제2주유소,서울 서대문구 성산로 490 (대신동),1875.0,N,SK에너지,서대문구
60,삼미상사(주)서부주유소,서울 서대문구 성산로 255,1875.0,Y,SK에너지,서대문구
61,현대오일뱅크㈜직영 독립문주유소,서울 서대문구 통일로 384 (홍제동),1876.0,N,현대오일뱅크,서대문구
62,지에스칼텍스(주)홍제동주유소,서울 서대문구 통일로 372,1879.0,Y,GS칼텍스,서대문구
63,현대오일뱅크(주)직영 연세주유소,서울 서대문구 연희로 184,1882.0,Y,현대오일뱅크,서대문구
64,연희주유소,서울 서대문구 연희로 129 (연희동 89-7번지),1898.0,N,SK에너지,서대문구
65,광호주유소,서울 서대문구 연희로 266 (홍은동),1898.0,N,SK에너지,서대문구
66,(주)안국에너지 삼보셀프주유소,서울 서대문구 연희로 78 (연희동),1898.0,Y,SK에너지,서대문구
67,㈜우남에너지 문화사랑주유소,서울 서대문구 세검정로 87 (홍제동),1899.0,Y,S-OIL,서대문구
68,만남의광장주유소,서울 서초구 양재대로12길 73-71,1818.0,Y,알뜰(ex),서초구
69,에쓰오일(주)직영 오토테크주유소,서울특별시 서초구  효령로 356 (서초동),1845.0,Y,S-OIL,서초구
70,에너지플러스허브 삼방주유소,서울 서초구 사평대로 364 (서초동),1852.0,Y,GS칼텍스,서초구
71,현대오일뱅크㈜직영 사평로주유소,서울 서초구 사평대로 350 (서초동),1867.0,N,현대오일뱅크,서초구
72,한독주유소,서울 서초구 방배로 218 (방배동),1874.0,Y,GS칼텍스,서초구
73,신반포주유소,서울 서초구 사평대로 94 (반포동),1874.0,Y,SK에너지,서초구
74,대성산업(주)직영 강남주유소,서울 서초구 반포대로 284 (반포동),1874.0,Y,GS칼텍스,서초구
75,현대오일뱅크(주)직영 팔레스주유소,서울 서초구 사평대로 136 (반포동),1875.0,N,현대오일뱅크,서초구
76,(주)대농석유 남태령주유소,서울 서초구 과천대로 838 (방배동),1875.0,Y,SK에너지,서초구
77,지에스칼텍스(주)선천주유소,서울 서초구 동작대로 206 (방배동),1878.0,N,GS칼텍스,서초구
78,현대오일뱅크(주)직영 방배현대주유소,서울 서초구 동작대로 182 (방배동),1882.0,N,현대오일뱅크,서초구
79,반포그린주유소,서울 서초구 서초중앙로 239 (반포동),1882.0,Y,GS칼텍스,서초구
80,극동유화(주) 전당앞주유소,서울 서초구 남부순환로 2391 (서초동),1886.0,Y,S-OIL,서초구
81,현대오일뱅크(주)직영 서초제일주유소,서울 서초구 사임당로 116 (서초동),1887.0,N,현대오일뱅크,서초구
82,태봉셀프주유소,서울 서초구 태봉로 117 (우면동),1915.0,Y,SK에너지,서초구
83,대성산업(주)직영 터미널(고속)주유소,서울 서초구 신반포로 222 (반포동),1929.0,N,GS칼텍스,서초구
84,현대오일뱅크㈜직영 양재현대주유소,서울 서초구 마방로 6,1930.0,N,현대오일뱅크,서초구
85,지에스칼텍스(주)헌릉로주유소,서울 서초구 헌릉로 177 (내곡동),1939.0,Y,GS칼텍스,서초구
86,지에스칼텍스(주)남서울주유소,서울 서초구 나루터로 83 (잠원동),1941.0,N,GS칼텍스,서초구
87,대성석유(주)연일주유소,서울 서초구 남부순환로 2451,1956.0,N,GS칼텍스,서초구
88,양재주유소,서울 서초구 바우뫼로 178,1960.0,N,SK에너지,서초구
89,말죽거리주유소,서울 서초구 남부순환로 2650 (양재동),1969.0,N,GS칼텍스,서초구
90,(주)홈런주유소,서울 서초구 양재대로2길 100-30 (우면동),1978.0,Y,S-OIL,서초구
91,(주)한미석유 서초주유소,서울 서초구 반포대로 64 (서초동),1986.0,Y,GS칼텍스,서초구
92,서초꽃마을주유소,서울 서초구 반포대로 69 (서초동),1986.0,Y,GS칼텍스,서초구
93,대신석유(주)대우주유소,서울 서초구 양재대로 173 (양재동),1999.0,Y,SK에너지,서초구
94,방배동주유소,서울 서초구 효령로 29 (방배동),2091.0,N,SK에너지,서초구
95,대신석유㈜서원주유소,서울 서초구 반포대로 142 (서초동),2268.0,N,SK에너지,서초구
96,(주)선문에너지 중앙주유소,서울특별시 서초구  바우뫼로 219 (양재1동),2398.0,N,S-OIL,서초구
97,양재최고주유소,서울 서초구 매헌로 72 (양재동),2495.0,N,S-OIL,서초구
98,(주)서울에너지 직영,서울 성동구 천호대로 324 (용답동),1829.0,Y,S-OIL,성동구
99,SK에너지(주) 군자동주유소,서울 성동구 천호대로 446 (용답동),1839.0,N,SK에너지,성동구
100,정호주유소,서울 성동구 고산자로 307 (마장동),1845.0,N,자가상표,성동구
101,지에스칼텍스㈜ 도루코주유소,서울 성동구 아차산로 180,1868.0,Y,GS칼텍스,성동구
102,아이콘주유소,서울 성동구 고산자로 273 (도선동),1868.0,N,S-OIL,성동구
103,삼우주유소,서울 성동구 천호대로 392,1888.0,N,SK에너지,성동구
104,KLP제2주유소,서울 성동구 동일로 249 (송정동),1896.0,Y,현대오일뱅크,성동구
105,현대오일뱅크(주) 성동셀프주유소,서울 성동구 마장로 311 (마장동),1897.0,Y,현대오일뱅크,성동구
106,현대오일뱅크㈜직영 효진주유소,서울 성동구 동일로 129,1916.0,N,현대오일뱅크,성동구
107,kh에너지(주)성수만세주유소,서울 성동구 왕십리로 109,1968.0,Y,SK에너지,성동구
108,SK에너지(주) 성수주유소,서울 성동구 뚝섬로 352 (성수동1가),1969.0,N,SK에너지,성동구
109,SK세원2주유소,서울 성동구 광나루로 184 (성수동1가),2105.0,N,SK에너지,성동구
110,금호주유소,서울 성동구 금호로 39 (금호동4가),2196.0,N,GS칼텍스,성동구
111,동일주유소,서울 성동구 광나루로 254 (성수동2가),2275.0,N,현대오일뱅크,성동구
112,청계로주유소,서울 성동구 청계천로 454 (하왕십리동),2298.0,N,SK에너지,성동구
113,(주)옥수하이웨이스테이션,서울 성동구 독서당로 168 (옥수동),2348.0,N,GS칼텍스,성동구
114,이케이에너지㈜ 강산주유소,서울 성북구 보문로 27 (보문동7가),1815.0,Y,GS칼텍스,성북구
115,원천주유소,서울 성북구 돌곶이로 142 (장위동),1824.0,N,알뜰주유소,성북구
116,(주)성북주유소,서울 성북구 보문로 142,1825.0,Y,현대오일뱅크,성북구
117,(주)삼표에너지 정릉주유소,서울 성북구 보국문로 35 (정릉동),1825.0,Y,GS칼텍스,성북구
118,이케이에너지(주) 강산제2주유소,서울 성북구 보국문로 52,1825.0,Y,현대오일뱅크,성북구
